,Network_Model,Height_&_Weight,Neurons,Hidden_Layers,Activation_Function,Accuracy,Loss
0,obese_overweight_or_not,Yes,25,2,relu,0.9810606241226196,0.0766223892569542
1,obese_overweight_or_not,Yes,25,3,relu,0.9791666865348816,0.11792229115962982
2,obese_overweight_or_not,Yes,30,2,relu,0.9810606241226196,0.0857425108551979
3,obese_overweight_or_not,Yes,30,3,relu,0.9791666865348816,0.14919990301132202
4,obese_overweight_or_not,Yes,35,2,relu,0.9848484992980957,0.13678860664367676
5,obese_overweight_or_not,Yes,35,3,relu,0.9848484992980957,0.12424474954605103
6,obese_overweight_or_not,Yes,25,2,softmax,0.9772727489471436,0.09788839519023895
7,obese_overweight_or_not,Yes,25,3,softmax,0.9715909361839294,0.11257074773311615
8,obese_overweight_or_not,Yes,30,2,softmax,0.9640151262283325,0.13265268504619598
9,obese_overweight_or_not,Yes,30,3,softmax,0.9772727489471436,0.09768526256084442
10,obese_overweight_or_not,Yes,35,2,softmax,0.9848484992980957,0.07967367768287659
11,obese_overweight_or_not,Yes,35,3,softmax,0.9810606241226196,0.08164099603891373
12,obese_overweight_or_not,Yes,25,2,selu,0.9905303120613098,0.05745798349380493
13,obese_overweight_or_not,Yes,25,3,selu,0.9943181872367859,0.03059403784573078
14,obese_overweight_or_not,Yes,30,2,selu,0.9829545617103577,0.09804441779851913
15,obese_overweight_or_not,Yes,30,3,selu,0.9829545617103577,0.08605334907770157
16,obese_overweight_or_not,Yes,35,2,selu,0.9829545617103577,0.05288415029644966
17,obese_overweight_or_not,Yes,35,3,selu,0.9867424368858337,0.05530281737446785
18,obese_overweight_or_not,No,25,2,relu,0.9128788113594055,0.48207780718803406
19,obese_overweight_or_not,No,25,3,relu,0.9128788113594055,0.5935595035552979
20,obese_overweight_or_not,No,30,2,relu,0.8920454382896423,0.533534824848175
21,obese_overweight_or_not,No,30,3,relu,0.8939393758773804,0.6816966533660889
22,obese_overweight_or_not,No,35,2,relu,0.9015151262283325,0.5618593692779541
23,obese_overweight_or_not,No,35,3,relu,0.8939393758773804,0.5833358764648438
24,obese_overweight_or_not,No,25,2,softmax,0.9128788113594055,0.2652932107448578
25,obese_overweight_or_not,No,25,3,softmax,0.9090909361839294,0.2805880308151245
26,obese_overweight_or_not,No,30,2,softmax,0.9147727489471436,0.27267614006996155
27,obese_overweight_or_not,No,30,3,softmax,0.9071969985961914,0.2878243029117584
28,obese_overweight_or_not,No,35,2,softmax,0.9166666865348816,0.2702508866786957
29,obese_overweight_or_not,No,35,3,softmax,0.9109848737716675,0.2733420431613922
30,obese_overweight_or_not,No,25,2,selu,0.8939393758773804,0.40718895196914673
31,obese_overweight_or_not,No,25,3,selu,0.9109848737716675,0.4364083707332611
32,obese_overweight_or_not,No,30,2,selu,0.8958333134651184,0.33358460664749146
33,obese_overweight_or_not,No,30,3,selu,0.8977272510528564,0.4199203550815582
34,obese_overweight_or_not,No,35,2,selu,0.8977272510528564,0.3992003798484802
35,obese_overweight_or_not,No,35,3,selu,0.8996211886405945,0.4098655581474304
36,obese_or_overweight,Yes,25,2,relu,0.9871134161949158,0.03928017616271973
37,obese_or_overweight,Yes,25,3,relu,0.9896907210350037,0.0515541136264801
38,obese_or_overweight,Yes,30,2,relu,0.9845361113548279,0.07006245106458664
39,obese_or_overweight,Yes,30,3,relu,0.9871134161949158,0.05193990096449852
40,obese_or_overweight,Yes,35,2,relu,0.9896907210350037,0.07843118160963058
41,obese_or_overweight,Yes,35,3,relu,0.9871134161949158,0.07056383788585663
42,obese_or_overweight,Yes,25,2,softmax,0.9742268323898315,0.11668474972248077
43,obese_or_overweight,Yes,25,3,softmax,0.9819587469100952,0.12240461260080338
44,obese_or_overweight,Yes,30,2,softmax,0.9768041372299194,0.11597613990306854
45,obese_or_overweight,Yes,30,3,softmax,0.9793814420700073,0.1208181157708168
46,obese_or_overweight,Yes,35,2,softmax,0.9819587469100952,0.10287778079509735
47,obese_or_overweight,Yes,35,3,softmax,0.9819587469100952,0.13273751735687256
48,obese_or_overweight,Yes,25,2,selu,0.9948453903198242,0.019204095005989075
49,obese_or_overweight,Yes,25,3,selu,0.9845361113548279,0.040791407227516174
50,obese_or_overweight,Yes,30,2,selu,0.9974226951599121,0.00666592363268137
51,obese_or_overweight,Yes,30,3,selu,0.9922680258750916,0.02473217248916626
52,obese_or_overweight,Yes,35,2,selu,0.9922680258750916,0.012356378138065338
53,obese_or_overweight,Yes,35,3,selu,0.9974226951599121,0.027294011786580086
54,obese_or_overweight,No,25,2,relu,0.8814433217048645,0.6449467539787292
55,obese_or_overweight,No,25,3,relu,0.8788659572601318,0.6613031625747681
56,obese_or_overweight,No,30,2,relu,0.8865979313850403,0.6110456585884094
57,obese_or_overweight,No,30,3,relu,0.8659793734550476,0.6272486448287964
58,obese_or_overweight,No,35,2,relu,0.8840206265449524,0.6494627594947815
59,obese_or_overweight,No,35,3,relu,0.8634020686149597,0.7353478074073792
60,obese_or_overweight,No,25,2,softmax,0.8505154848098755,0.40807777643203735
61,obese_or_overweight,No,25,3,softmax,0.8273195624351501,0.44937995076179504
62,obese_or_overweight,No,30,2,softmax,0.8582473993301392,0.4027683734893799
63,obese_or_overweight,No,30,3,softmax,0.8402062058448792,0.44026196002960205
64,obese_or_overweight,No,35,2,softmax,0.8505154848098755,0.4250282645225525
65,obese_or_overweight,No,35,3,softmax,0.8479381203651428,0.43056052923202515
66,obese_or_overweight,No,25,2,selu,0.873711347579956,0.4178341031074524
67,obese_or_overweight,No,25,3,selu,0.8711340427398682,0.4299551248550415
68,obese_or_overweight,No,30,2,selu,0.8530927896499634,0.41193047165870667
69,obese_or_overweight,No,30,3,selu,0.8865979313850403,0.48971089720726013
70,obese_or_overweight,No,35,2,selu,0.873711347579956,0.445995569229126
71,obese_or_overweight,No,35,3,selu,0.8711340427398682,0.4844825863838196
