mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1432857513427734,0.0892056165675153,0.003000020980834961,0.0006319579363318243,0.01,lbfgs,"{'C': 0.01, 'solver': 'lbfgs'}",0.8875739644970414,0.8964497041420119,0.8609467455621301,0.9050445103857567,0.887240356083086,0.8874510561340052,0.014785420375140143,4
1.8116614818572998,0.12415842038542997,0.0032009124755859376,0.0009795889696120796,0.01,saga,"{'C': 0.01, 'solver': 'saga'}",0.7071005917159763,0.6923076923076923,0.6893491124260355,0.685459940652819,0.6824925816023739,0.6913419837409794,0.008557431898941585,10
1.2286914825439452,0.19743113650556343,0.002801179885864258,0.0004001862490707856,0.1,lbfgs,"{'C': 0.1, 'solver': 'lbfgs'}",0.9201183431952663,0.9112426035502958,0.8609467455621301,0.9169139465875371,0.9465875370919882,0.9111618351974433,0.027892106145967654,1
1.7811331272125244,0.07560203084527323,0.003801918029785156,0.0007493110896263576,0.1,saga,"{'C': 0.1, 'solver': 'saga'}",0.7928994082840237,0.7869822485207101,0.7603550295857988,0.7685459940652819,0.8041543026706232,0.7825873966252876,0.016013886936228953,9
1.1220830917358398,0.05157644740452154,0.003601360321044922,0.0004904079827642332,1,lbfgs,"{'C': 1, 'solver': 'lbfgs'}",0.8905325443786982,0.8757396449704142,0.863905325443787,0.8724035608308606,0.8961424332344213,0.8797447017716363,0.011883449145672595,5
2.58359432220459,1.2656989785464212,0.0038016796112060546,0.0007486091688505124,1,saga,"{'C': 1, 'solver': 'saga'}",0.8106508875739645,0.7988165680473372,0.7692307692307693,0.7774480712166172,0.8219584569732937,0.7956209506083964,0.01978115485030251,6
1.421506643295288,0.1878869871013373,0.0038003444671630858,0.001470742460875405,10,lbfgs,"{'C': 10, 'solver': 'lbfgs'}",0.9023668639053254,0.9171597633136095,0.8757396449704142,0.9050445103857567,0.9198813056379822,0.9040384176426176,0.01567031372697319,3
1.8573372840881348,0.10720686378670066,0.003400897979736328,0.0010203567883053254,10,saga,"{'C': 10, 'solver': 'saga'}",0.8106508875739645,0.7988165680473372,0.7692307692307693,0.7774480712166172,0.8219584569732937,0.7956209506083964,0.01978115485030251,6
1.209890651702881,0.1224747453583793,0.0034009456634521485,0.0013570715286813015,100,lbfgs,"{'C': 100, 'solver': 'lbfgs'}",0.9053254437869822,0.9112426035502958,0.8994082840236687,0.9080118694362018,0.913946587537092,0.907586957666848,0.005019847338592403,2
1.8115347385406495,0.06806059515771003,0.0028008460998535157,0.0011669403684187465,100,saga,"{'C': 100, 'solver': 'saga'}",0.8106508875739645,0.7988165680473372,0.7692307692307693,0.7774480712166172,0.8219584569732937,0.7956209506083964,0.01978115485030251,6
